"id","name","component","ra","dec","proper_motion","proper_motion_dir","radial_velocity","spectral_type_full","spectral_type","spectral_type_sub","luminosity_class","visual_magnitude","absolute_magnitude","parallax","bv_color","hd_number"
12903,"Wo 9099",,"02 44 56.4","+10 06 54",0.284,96.2,30.4,"F0 IV","F",0,"IV",4.27,2.7,48.3,0.31,17094
13089,"Gl 154.2",,"03 44 12.1","-64 48 23",0.325,75.6,50.8,"K0 IV","K",0,"IV",3.85,2.1,43.7,1.13,23817
12600,"GJ 2019",,"01 00 37.2","-26 38 15",0.12,175.3,,"K0","K",0,,10.11,8.6,49.9,0.76,
12875,"Wo 9086",,"02 35 54.6","-47 39 57",0.21,119,,"G0","G",0,,11.99,10.1,42.6,0.55,
15107,"Gl 654.4",,"16 22 38.4","+88 36 21",0.029,0,-10.3,"K0","K",0,,8.32,6.1,36,0.87,163545
13552,"Gl 268.1",,"07 12 33.6","-46 45 34",0.172,306.2,1.1,"F0 IV","F",0,"IV",4.48,2.8,46.1,0.32,55892
13069,"Gl 150",,"03 43 14.9","-09 45 49",0.752,352.3,-5.1,"K0 IVe","K",0,"IV",3.53,3.6,103.5,0.92,23249
13073,"Gl 150.2",,"03 44 48.4","+46 02 07",0.337,107.6,20.3,"K0","K",0,,7.71,5.98,45,0.86,23140
12437,"Gl 9.1",,"00 09 24.9","-45 44 51",0.214,145,-9.2,"K0 III","K",0,"III",3.88,2.9,64.5,1.03,496
13302,"Gl 194","B","05 16 40.9","+45 59 55",0.431,169.2,33.9,"G0 III","G",0,"III",0.96,0.45,79,,
12429,"Wo 9003",,"00 07 32.2","-23 49 08",0.348,77.5,-46,"K0 V","K",0,"V",8.7,5.77,26,0.8,283
13075,"Wo 9125",,"03 44 16.2","+24 46 58",0.05,165,,"G0","G",0,,10.81,9.2,48.5,0.7,
13109,"NN 3257",,"03 56 12.0","+59 38 34",0.31,303.9,,"G0","G",0,,6.54,4.9,47,,24409
15562,"NN 4134",,"20 04 07.0","+54 27 58",0.124,157.7,-9,"dK0","K",0,,7.72,6.38,54,0.94,190780
15102,"Gl 654.2",,"17 06 15.8","+15 13 46",0.127,224.9,-30.9,"K0 V","K",0,"V",7.09,6.28,69,0.94,154653
15111,"Gl 656",,"17 10 10.4","-60 43 40",0.612,8.9,8.8,"K0 V","K",0,"V",7.41,6.57,67.8,0.89,154577
13080,"Gl 152",,"03 44 08.9","-38 16 52",0.361,35.9,32,"K0 V","K",0,"V",6.99,5.92,61,0.88,23484
13105,"Gl 155.2",,"03 55 03.7","+61 09 59",0.506,118.2,47.9,"K0 V","K",0,"V",7.86,6.15,45.4,0.83,24238
12596,"GJ 2017",,"00 59 51.5","-25 35 28",0.05,225.1,,"G0","G",0,,9.87,8.7,57.9,0.5,
13193,"NN 3295",,"04 33 54.4","+64 38 01",0.088,299.3,,"G0","G",0,,7.74,5.75,40,,28495
13232,"NN 3312",,"04 46 27.3","+42 20 57",0.065,0,28.8,"G0","G",0,,6.52,5.1,52,,30090
13404,"NN 3376","AB","05 58 21.5","-04 39 04",0.227,163.5,,"G0","G",0,,6.99,5,40,,40397
13420,"Wo 9200",,"06 04 28.4","-45 02 10",0.26,339.7,25.8,"G0 IV-V","G",0,,6.35,4.4,40.2,0.52,41700
13856,"Gl 337","A","09 12 18.0","+14 59 44",0.58,293.8,50.2,"K0 V J","K",0,,7.25,5.54,45.6,0.73,79096
13092,"Wo 9131",,"03 47 04.5","+23 59 42",0.044,158.1,4.3,"F0 V","F",0,"V",8.38,6.8,48.6,0.29,23585
15758,"Gl 828","A","21 27 01.6","-44 48 30",0.314,55.7,8.2,"K0 V","K",0,"V",7.48,6.61,67,0.91,203985
13233,"Gl 176.3",,"04 45 38.8","-50 04 31",0.552,232.5,17,"K0 V","K",0,"V",7.59,6.08,49.9,0.89,30501
13274,"Gl 187.2","A","05 06 40.3","+51 35 50",0.178,187.5,0.6,"F0 V","F",0,"V",5,3.4,47.1,0.33,32537
12426,"Gl 5",,"00 06 37.1","+29 01 15",0.422,114.1,-5.5,"K0 Ve","K",0,"V",6.14,5.37,70.2,0.75,166
12410,"NN 3001",,"00 02 40.1","-34 13 37",0.758,168.6,,"DC9",,,,14.9,14.28,75.2,0.46,
12425,"Gl 4.2","B","00 06 19.1","-49 04 32",0.592,93.9,,,,,,11.5,9.9,48.3,,
12428,"GJ 1003",,"00 07 26.5","+29 14 32",1.89,127.2,,"m",,,,14.18,12.82,53.5,1.49,
12434,"NN 3010",,"00 08 54.4","+20 50 24",0.244,194,,"m",,,,13.54,13.41,94,,
12435,"Gl 7",,"00 09 04.2","-27 07 21",0.683,83.7,,"m",,,,11.72,9.03,29,1.5,
12445,"Gl 11","B","00 13 15.5","+69 19 37",0.772,113.9,,,,,,13.4,11.9,49.6,,
13908,"NN 3559",,"09 31 32.1","+63 03 42",0.111,76.8,-10.4,"F0 IV","F",0,"IV",3.67,1.67,39.8,0.33,81937
13914,"Gl 351","B","09 30 42.3","-40 27 59",0.201,290.1,,"F0 IV","F",0,"IV",4.65,3.69,64.2,,
14198,"Gl 429","A","11 26 44.9","+03 00 44",0.747,283.6,3.8,"K0 IV","K",0,"IV",6.5,5.41,60.4,0.8,99491
