"id","name","hd_id","ads_id","variable","ra","dec","visual_magnitude","bv_magnitude","spectral_type_full","spectral_type","sprectral_type_sub","intensity","note_flag"
1,\N,3,46,\N,"00 05 09.9","+45 13 45",6.7,0.07,"  A1Vn              ",\N,\N,\N,\N
2,\N,6,\N,\N,"00 05 03.8","-00 30 11",6.29,1.1," gG9                ",\N,\N,\N,\N
3," 33    Psc",28,\N,"Var?     ","00 05 20.1","-05 42 27",4.61,1.04,"  K0IIIbCN-0.5      ",\N,\N,\N,"*"
4," 86    Peg",87,\N,\N,"00 05 42.0","+13 23 46",5.51,0.9,"  G5III             ",\N,\N,\N,\N
5,\N,123,61,"V640 Cas ","00 06 16.0","+58 26 12",5.96,0.67,"  G5V               ",\N,\N,\N,"*"
6,\N,142,\N,\N,"00 06 19.0","-49 04 30",5.7,0.52,"  G1IV              ",\N,\N,\N,"*"
7," 10    Cas",144,\N,\N,"00 06 26.5","+64 11 46",5.59,-0.03,"  B9III             ",\N,\N,\N,"*"
8,\N,166,69,33,"00 06 36.8","+29 01 17",6.13,0.75,"  K0V               ",\N,\N,\N,"*"
9,\N,203,\N,\N,"00 06 50.1","-23 06 27",6.18,0.38,"  A7V               ",\N,\N,\N,\N
10,\N,256,\N,\N,"00 07 18.2","-17 23 11",6.19,0.14,"  A6Vn              ",\N,\N,\N,"*"
11,\N,315,\N,"Var?     ","00 07 44.1","-02 32 56",6.43,-0.14,"  B8IIIpSi          ",\N,\N,\N,"*"
12,\N,319,89,46,"00 07 46.8","-22 30 32",5.94,0.14,"  A2Vp:             ",\N,\N,\N,"*"
13,\N,344,\N,\N,"00 08 03.5","-33 31 46",5.68,1.12,"  K1III             ",\N,\N,\N,\N
14,\N,352,\N,"AP Psc   ","00 08 12.1","-02 26 52",6.07,1.38,"  K2III+F           ",\N,\N,\N,"*"
15," 21Alp And",358,94,"Alp And  ","00 08 23.3","+29 05 26",2.06,-0.11,"  B8IVpMnHg         ",\N,\N,\N,"*"
16,\N,360,\N,\N,"00 08 17.4","-08 49 26",5.99,1.04," gG8                ",\N,\N,\N,\N
17,\N,400,\N,\N,"00 08 41.0","+36 37 36",6.19,0.48,"  F8IV              ",\N,\N,\N,\N
18,\N,402,\N,51,"00 08 33.4","-17 34 39",6.06,1.67,"  M0III             ",\N,\N,\N,"*"
19,\N,417,\N,\N,"00 08 52.2","+25 27 46",6.23,0.97,"  K0III             ",\N,\N,\N,\N
20,\N,431,102,\N,"00 09 20.2","+79 42 53",6.01,0.19,"  A7IV              ",\N,\N,\N,"*"
21," 11Bet Cas",432,107,"Bet Cas  ","00 09 10.7","+59 08 59",2.27,0.34,"  F2III-IV          ",\N,\N,\N,"*"
22," 87    Peg",448,\N,\N,"00 09 02.4","+18 12 43",5.53,1.04,"  G9III             ",\N,\N,\N,\N
23,\N,469,\N,\N,"00 09 02.4","-54 00 07",6.33,0.74,"  G4IV              ",\N,\N,\N,"*"
24,"   Kap1Scl",493,111,\N,"00 09 21.0","-27 59 16",5.42,0.42,"  F2V               ",\N,\N,\N,"*"
25,"   Eps Phe",496,\N,\N,"00 09 24.7","-45 44 51",3.88,1.03,"  K0III             ",\N,\N,\N,\N
26," 34    Psc",560,122,\N,"00 10 02.3","+11 08 44",5.51,-0.07,"  B9Vn              ",\N,\N,\N,"*"
27," 22    And",571,\N,\N,"00 10 19.3","+46 04 20",5.03,0.4,"  F2II              ",\N,\N,\N,"*"
28,\N,584,\N,\N,"00 10 29.7","+57 09 56",6.74,-0.08,"  B7IV              ",\N,\N,\N,\N
29,\N,587,\N,\N,"00 10 18.8","-05 14 55",5.84,0.98,"  K1III             ",\N,\N,\N,"*"
30,"   Gam3Oct",636,\N,\N,"00 10 02.1","-82 13 26",5.28,1.05,"  G8III             ",\N,\N,\N,\N
31,\N,645,\N,\N,"00 10 42.8","-12 34 48",5.85,1.01,"  K0IV              ",\N,\N,\N,\N
32,\N,661,\N,\N,"00 10 38.6","-73 13 28",6.64,0.37,"  F2V+F6V           ",\N,\N,\N,"*"
33,"  6    Cet",693,\N,\N,"00 11 15.9","-15 28 05",4.89,0.49,"  F7V               ",\N,\N,\N,\N
34,"   Kap2Scl",720,\N,\N,"00 11 34.4","-27 47 59",5.41,1.34,"  K5III             ",\N,\N,\N,\N
35,"   The Scl",739,\N,\N,"00 11 44.0","-35 07 59",5.25,0.44,"  F4V               ",\N,\N,\N,\N
36,\N,743,\N,\N,"00 11 59.1","+48 09 09",6.16,1.45," gK4                ",\N,\N,\N,\N
37,\N,787,\N,\N,"00 12 10.0","-17 56 18",5.25,1.48,"  K5III             ",\N,\N,\N,\N
38,\N,829,\N,\N,"00 12 50.4","+37 41 36",6.73,-0.13,"  B2V               ",\N,\N,\N,"*"
39," 88Gam Peg",886,\N,"Gam Peg  ","00 13 14.2","+15 11 01",2.83,-0.23,"  B2IV              ",\N,\N,\N,"*"
40,\N,895,161,\N,"00 13 24.0","+26 59 14",6.3,0.65,"  G0III             ",\N,\N,\N,"*"
41," 23    And",905,\N,\N,"00 13 30.8","+41 02 07",5.72,0.31,"  F0IV              ",\N,\N,\N,\N
42,\N,942,\N,96,"00 13 42.1","-26 01 19",5.94,1.55,"  K5III             ",\N,\N,\N,\N
43,\N,943,\N,\N,"00 13 44.2","-26 17 05",6.31,1.48,"  K5III             ",\N,\N,\N,\N
44,\N,952,\N,\N,"00 14 02.3","+33 12 22",6.25,-0.01,"  A1V               ",\N,\N,\N,\N
45," 89Chi Peg",1013,\N,99,"00 14 36.2","+20 12 24",4.8,1.57,"  M2+III            ",\N,\N,\N,"*"
46,\N,1014,180,"AD Cet   ","00 14 27.6","-07 46 50",5.12,1.62,"  M3+III            ",\N,\N,\N,"*"
47,\N,1032,\N,\N,"00 13 19.4","-84 59 39",5.77,1.72,"  M0-1III           ",\N,\N,\N,\N
48,"  7    Cet",1038,\N,"AE Cet   ","00 14 38.4","-18 55 58",4.44,1.66,"  M3III             ",\N,\N,\N,"*"
49,\N,1048,\N,\N,"00 14 56.1","+22 17 03",6.24,-0.01,"  A1pSi             ",\N,\N,\N,"*"
50," 35    Psc",1061,191,"UU Psc   ","00 14 58.8","+08 49 15",5.79,0.31,"  F0IV              ",\N,\N,\N,"*"
51,\N,1064,\N,\N,"00 14 54.5","-09 34 11",5.75,-0.08,"  B9V               ",\N,\N,\N,\N
52,\N,1075,\N,\N,"00 15 07.0","+31 32 09",6.45,\N,"  K5                ",\N,\N,\N,\N
53,\N,1083,\N,\N,"00 15 10.6","+27 16 59",6.35,-0.02,"  A1Vn              ",\N,\N,\N,"*"
54,\N,1089,\N,\N,"00 14 58.2","-34 54 16",6.17,1.34,"  K3III             ",\N,\N,\N,\N
55,\N,1141,207,\N,"00 16 14.0","+76 57 03",6.35,-0.07,"  B8Vnn             ",\N,\N,\N,"*"
56,\N,1185,215,\N,"00 16 21.6","+43 35 41",6.15,0.05,"  A2VpSi            ",\N,\N,\N,"*"
57,\N,1187,\N,\N,"00 16 08.9","-31 26 47",5.67,1.35,"  K5III             ",\N,\N,\N,"*"
58,\N,1221,\N,\N,"00 15 55.2","-75 54 41",6.49,1,"  G8-K0III          ",\N,\N,\N,\N
59," 36    Psc",1227,\N,\N,"00 16 34.1","+08 14 24",6.11,0.92,"  G8II-III          ",\N,\N,\N,\N
60,\N,1239,222,\N,"00 16 57.1","+61 32 00",5.74,0.88,"  G8III             ",\N,\N,\N,"*"
61,\N,1256,\N,113,"00 16 42.5","-20 12 38",6.47,-0.09,"  B8III             ",\N,\N,\N,"*"
62,\N,1279,\N,\N,"00 17 09.1","+47 56 51",5.89,-0.09,"  B7III             ",\N,\N,\N,\N
63," 24The And",1280,\N,116,"00 17 05.5","+38 40 54",4.61,0.06,"  A2V               ",\N,\N,\N,"*"
64,\N,1324,\N,\N,"00 16 49.0","-78 46 50",6.77,0.46,"  F3III             ",\N,\N,\N,\N
65,\N,1337,\N,"AO Cas   ","00 17 43.0","+51 25 59",6.14,-0.13,"  O9IIInn           ",\N,\N,\N,"*"
66,\N,1343,\N,\N,"00 17 32.6","-19 03 04",6.45,0.37,"  F4IV-V            ",\N,\N,\N,\N
67,\N,1367,\N,\N,"00 17 47.7","+01 41 20",6.17,0.94,"  K0II              ",\N,\N,\N,\N
68," 25Sig And",1404,\N,118,"00 18 19.7","+36 47 07",4.52,0.05,"  A2V               ",\N,\N,\N,"*"
69,\N,1419,\N,\N,"00 18 17.2","+11 12 21",6.05,1.03,"  K0III             ",\N,\N,\N,\N
70," 26    And",1438,254,119,"00 18 42.1","+43 47 28",6.11,-0.08,"  B8V               ",\N,\N,\N,"*"
71,\N,1439,\N,\N,"00 18 38.3","+31 31 02",5.87,-0.01,"  A0IV              ",\N,\N,\N,\N
72,\N,1461,\N,\N,"00 18 41.8","-08 03 10",6.46,0.68,"  G0V               ",\N,\N,\N,"*"
73,\N,1483,\N,\N,"00 18 42.6","-43 14 07",6.33,1.21,"  K2III             ",\N,\N,\N,\N
74,"  8Iot Cet",1522,\N,123,"00 19 25.7","-08 49 26",3.56,1.22,"  K1.5III           ",\N,\N,\N,"*"
