"id","yale_id","note_count","remark_abbr","remark"
1,23,1,"D:  ","Combined mag., color."
2,24,1,"D:  ","Primary F4III, comp. B, F3III."
3,24,1,"DYN:","0.011""."
4,26,1,"D:  ","Companion 9.44V, +0.34(B-V), -0.14(U-B), G5Ve."
5,26,1,"S:  ","H and K lines in emission, lithium strong."
6,27,1,"G:  ","In neutral hydrogen region."
7,29,1,"D:  ","Suspected occultation double."
8,32,1,"D:  ","AB, CPM, combined mag., color.  Component B, 8.2 F3/5 IV, HD 662.  C, 14v at 20""."
9,38,1,"G:  ","Cas-Tau OB1."
10,39,1,"C:  ","Color excess E(B-V) = +0.01."
11,39,1,"N:  ","ALGENIB."
12,39,1,"RV: ","RV also varies with period 0.151750125d."
13,39,1,"S:  ","Lyman beta observed from COPERNICUS.  Chlorine in spectrum."
14,39,1,"SB: ","6.830713d, K 1.34k/s, V0 2.5k/s, asini 0.181Solar R."
15,39,1,"VAR:","Beta C 2.80 - 2.87V, 0.1517495d."
16,40,1,"D:  ","AB 6.7 G3III, 7.5 F2IV, 368y, a = 0.564"".  ADS 161C, 10.37V, K0, at 18"", physical."
17,40,1,"DYN:","0.0065""."
18,40,1,"S:  ","Combined spectrum variously classified as F7V, G0V, G0III."
19,45,1,"S:  ","Ultraviolet FeII emission."
20,45,1,"VAR:","4.78 - 4.86V."
21,46,1,"D:  ","CPM."
22,46,1,"G:  ","Hyades group."
23,46,1,"VAR:","Lb? 5.06 - 5.16V."
24,48,1,"G:  ","Wolf 630 group."
25,48,1,"S:  ","Ultraviolet FeII emission."
26,48,1,"VAR:","Lb 4.26 - 4.46V."
27,49,1,"G:  ","Pleiades group."
28,50,1,"D:  ","Component A is SB.  ADS 191B, 7.3v dA7 at 12"".  Period apsidal motion, 3y.  Possible radio binary."
29,50,1,"SB: ","ADS 191A, 0.8417d, K 89.9k/s, V0 +2.6k/s, msin3i 0.295, asini 1.04, equal masses.  6.6, 6.6v, sep. 0.0003""."
30,50,1,"VAR:","Ell 6.0 - 6.03V, 0.841678d."
31,53,1,"SB: ","Published RV range from -75 to +14k/s."
32,55,1,"D:  ","6.8 B8V, 7.1 B9V, 1600y, a = 1.260"".  Combined mag., colors."
33,56,1,"D:  ","CPM."
34,57,1,"G:  ","Zeta Her group."
35,60,1,"D:  ","Fixed sep."
36,61,1,"VAR:","6.47 - 6.52V."
37,63,1,"G:  ","Possible Eggen group with V = +5k/s. Other members: HR 118, 378, 1046, 1706, 2375, 2572, 3131, 3894, 4564, 5482, 5843,"
38,63,2,"G:  ","6153, 6250, 6355, 6446, 7102, 7124, 7340, 8709."
39,65,1,"G:  ","In neutral hydrogen region."
40,65,1,"S:  ","Also classified O9IIIn, O9.5III, O8, and O9.5I.  There are also indications of two O9III components."
41,65,1,"SB: ","3.5236d, K 223.4k/s, V0 -31.1k/s, msin3i 10.1, asini 10.8.  Apsidal period about 70y? vsini of secondary 145k/s."
42,65,1,"VAR:","EB 5.96 - 6.11B, 6.07 - 6.24V, O9III+O9III, 3.523487d.  Spontaneous var. in period.  Polarization indicates"
43,65,2,"VAR:","circumstellar envelope possibly related to mass exchange."
44,68,1,"G:  ","Sirius group; UMa stream."
45,68,1,"VAR:","Delta Sct?, 4.49 - 4.55V."
46,70,1,"D:  ","CPM.  Companion F3V."
47,70,1,"VAR:","ADS 254B, 9.5 - 12v."
48,72,1,"S:  ","Metal rich star with normal Doppler broadening.  Also classified G3V and G5IV-V."
49,74,1,"D:  ","Component B, 12.87v at 63"", optical."
50,74,1,"N:  ","Deneb Kaitos Shemali; Deneb Kaitos Al Shamaliyy."
51,74,1,"VAR:","3.46 - 3.56V."
52,81,1,"D:  ","B9.5, A2."
53,85,1,"G:  ","Zeta Her group."
54,85,1,"S:  ","Technetium star."
55,85,1,"VAR:","SRc 5.0 - 6.9v, 6.6 - 7.7p, 158.9d."
56,86,1,"D:  ","Optical."
57,88,1,"G:  ","Hyades group."
58,88,1,"VAR:","BY Dra, amp. 0.032V, 0.037B, 7.655d."
59,89,1,"S:  ","Overabundant gallium."
60,90,1,"S:  ","CO emission.  Technetium star, also classified S6.5IIIe, S4/4eZr6Ti2, and S3,5e - S8,8e (M7e)."
61,90,1,"VAR:","M 5.8 - 14.9v, 409.33d."
62,91,1,"D:  ","ADS 328B, 8.0 at 0.2"".  However, ADS 328 appeared single in 1953."
63,91,1,"G:  ","Cas-Tau OB1."
64,91,1,"SB: ","ADS 328A, 27.8d, K 30k/s, V0 -18k/s, asini 11.2."
65,91,1,"VAR:","ADS 328A, E?, 5.56 - 5.62V."
66,92,1,"VAR:","Tycho's Nova Cas 1572.  Brighter than first mag. at maximum."
67,95,1,"G:  ","Globular cluster 47 Tuc."
68,96,1,"VAR:","Amp. 0.07V."
69,97,1,"D:  ","Suspected double probably single."
70,97,1,"G:  ","Sirius group?"
71,98,1,"G:  ","Zeta Her group."
72,98,1,"S:  ","Lithium/calcium ratio = 10 times solar value."
73,98,1,"VAR:","2.75 - 2.81V."
74,99,1,"D:  ","A* 2.38 K0III, 10.538y, a = 0.072""."
75,99,1,"N:  ","ANKAA; Nair al Zaurak; Cymbae; Lucida Cymbae; Head of Phoenix."
76,99,1,"SB: ","3848.83d, K 5.8k/s, V0 +75.2k/s, asini 289."
77,101,1,"VAR:","Amp. 0.36V."
78,103,1,"G:  ","Zeta Her group; Hyades group."
79,103,1,"VAR:","SR 4.65 - 5.42V, 49d, replaced by cycles 70 - 85d."
80,104,1,"SB: ","3.9558d, K 41.7k/s, V0 +2.0k/s, asini 2.24."
81,105,1,"C:  ","IR source."
82,105,1,"VAR:","Lb 4.7 - 4.90V."
83,107,1,"G:  ","Wolf 630 group."
84,108,1,"D:  ","7.2 G1V, 7.2 G1V, 5.625y, a = 0.134"".  Combined mag. and colors."
85,108,1,"S:  ","Combined spectrum variously classified F9V, G0V, G4IV."
86,109,1,"G:  ","Sigma Pup group."
87,112,1,"G:  ","61 Cyg group."
88,113,1,"D:  ","ADS 412AB, CPM."
89,113,1,"G:  ","Open cluster, NGC 129 #201."
90,114,1,"D:  ","ADS 409B 13.3v at 3"" CPM with A."
91,114,1,"S:  ","Spectrum classified variously as Am, A7III, F0III, F2V."
92,114,1,"VAR:","Delta Sct 5.18 - 5.22V, 0.0689797d."
93,115,1,"S:  ","Luminosity class uncertain III-V."
94,117,1,"D:  ","Optical."
95,118,1,"G:  ","Possible Eggen group, with HR 63, q.v."
96,119,1,"VAR:","Delta Sct?  Amp. 0.04y, 0.174?d."
97,121,1,"G:  ","Member of local association (Pleiades group)."
98,123,1,"D:  ","5.5 B7.5V, 5.8 B8.5V, 640y, a = 0.586"".  Combined mag. and colors.  Components 14 and 13 solar masses."
99,123,1,"DYN:","0.004""."
100,125,1,"D:  ","Optical."
101,125,1,"G:  ","Hyades group."
102,126,1,"D:  ","CPM with HR 127 of which both are close binaries.  Also CPM with HR 136.  Faint companion at 14""."
103,126,1,"G:  ","Pleiades group."
104,127,1,"D:  ","CD 4.9 A2V, 5.6 A7V, 44.43y, a = 0.385"".  Combined mag., colors.  D-C = 1.17V."
105,127,1,"DYN:","0.020""."
106,128,1,"S:  ","Also classified A0pSi."
107,130,1,"G:  ","Cas OB14."
108,130,1,"SB: ","0.14035d, strongly modulated."
109,130,1,"VAR:","Alpha Cyg, 4.22 - 4.30B, 0.09028d."
110,132,1,"D:  ","ADS 449A is triple occultation system, 6.2, 6.9v, sep. 0.031""; third component 8.8v at 0.196"".  ADS 449B, 9.7v at 27.5""."
111,132,2,"D:  ","AB are CPM."
112,132,1,"RV: ","Early determination of vsini 260k/s."
113,132,1,"VAR:","Suspect eclipsing because invisible at time of occultation."
114,134,1,"D:  ","ADS 455AB, CPM.  B, 10.4v K0V.  C, 12.3v at 60""."
115,134,1,"SB: ","ADS 455A."
116,136,1,"D:  ","Short period binary.  Both components A-type.  Sep. 0.099"".  CPM with HR 126 and 127."
117,138,1,"S:  ","Spectroscopic companion may be the cause of the bright ultraviolet."
118,139,1,"VAR:","Delta Sct 6.06 - 6.15V, 0.04931 and 0.0604d."
119,142,1,"D:  ","AB 5.6 F7V, 6.3 G0V, 6.92y, a = 0.23"".  Combined mag., colors, spectrum."
120,142,1,"DYN:","0.049""."
121,142,1,"G:  ","Hyades group."
122,142,1,"S:  ","A possible overluminous system of about one solar mass."
123,142,1,"SB: ","ADS 490A, 2.0819d, K 38.4k/s, V0 +11k/s, asini 1.10."
124,142,1,"VAR:","ADS 490A?, Delta Sct?, 5.18 - 5.22V."
125,146,1,"G:  ","Cas OB14."
126,149,1,"SB: ","Probable SB with period about 400d."
127,149,1,"VAR:","Amp. 0.06B."
128,151,1,"VAR:","Delta Sct, 43.0 minutes."
129,153,1,"G:  ","Cas-Tau OB1."
130,153,1,"VAR:","3.59 - 3.68V."
131,154,1,"D:  ","AB 103000?y.  Component B spectrum A6V or Am(A3/F0/F2), RV +11.9k/s.  Component C, 11.4v, F3 at 55"" optical."
132,154,1,"RV: ","The secondary has evidently been seen only by J. A. Pearce in 1936."
133,154,1,"SB: ","ADS 513A, 143.6065d, K 47.5k/s, V0 +8.35k/s, msin3i 27.1, asini 77.6.  Unresolved by speckle interferometry."
134,155,1,"VAR:","Beta CMa, amp. 0.035V, 0.096d.  Different cycles show different amplitudes, from 0.002 to 0.036V.  Doubt has been"
135,155,2,"VAR:","expressed that this is due to interference between different periods.  RV also shows amplitude changing from a few to"
136,155,3,"VAR:","25k/s.  Line profiles also vary."
137,159,1,"D:  ","6.3 G7V, 6.4 G8V, 25.00y, a = 0.670"".  Combined mag., colors."
138,159,1,"DYN:","0.063""."
139,159,1,"G:  ","61 Cyg group."
140,161,1,"G:  ","Sigma Pup group."
141,164,1,"D:  ","Companion optical."
142,165,1,"D:  ","AB CPM.  Component C, 15.2v at 48"" optical."
143,165,1,"SB: ","ADS 548A, 15,000d, K 4.0k/s, V0 -8.5k/s, asini 785.  Unresolved by speckle interferometry 1983.93."
144,166,1,"VAR:","5.83 - 5.89V."
145,167,1,"D:  ","Binary."
146,167,1,"DYN:","0.007""."
147,168,1,"D:  ","D is 8.5v K2IV-V, vsini <54k/s.  All components probably optical."
148,168,1,"N:  ","SHEDIR; Schedar; Schedir."
149,168,1,"VAR:","Cst 2.20 - 2.27V."
150,170,1,"VAR:","Cst 6.68V."
151,175,1,"G:  ","UMa stream."
152,178,1,"D:  ","Suspected visual double is probably single.  Resolved by speckle interferometry 1983.93, sep. 0.145"", but unresolved"
153,178,2,"D:  ","1981.68, 1983.94."
154,179,1,"G:  ","Cas-Tau OB1."
155,179,1,"SB: ","940.2d, K 11.9, V0 -10.6, asini 141.0."
156,180,1,"G:  ","In Ursa cluster?  Sirius group?"
157,182,1,"N:  ","Andromeda Nebula."
158,182,1,"VAR:","The supernova S And appeared in M31 in 1885, 5.7v at max."
159,183,1,"D:  ","CPM."
160,183,1,"VAR:","Alpha C, 5.69 - 5.78V, 3.952d."
161,184,1,"SB: ","1.9642d, K 120.5k/s, V0 +12.9k/s, msin3i 1.47, asini 3.25.  vsini of companion 63k/s."
162,185,1,"D:  ","A0, A9."
163,186,1,"N:  ","Called CPD -60d49 in HR, previous ed. BS, and HD.  Misnumbering in CPD has led to confusion of CPD numbers in -60d zone."
164,187,1,"SB: ","F7, F5, 4.8202d, K 26.1k/s, V0 +14.1k/s, asini 1.73."
165,277,1,"D:  ","ADS 805, 790y."
166,278,1,"G:  ","Hyades group."
167,188,1,"N:  ","DIPHDA; Deneb Kaitos; Difda; Difda al Thani; Rana Secunda, the ""Second Frog"" (the ""First Frog"" is Fomalhaut = HR 8728)."
168,188,1,"VAR:","1.96 - 2.11V."
169,189,1,"M:  ","High velocity star, possible runaway."
170,192,1,"D:  ","Physical pair."
171,192,1,"S:  ","Also classified A2V + F2V."
172,192,1,"SB: ","4.4672d, K 73.0k/s, V0 +8.1k/s, asini 4.48."
173,192,1,"VAR:","ADS 624A, EA 5.71 - 6.12B, 4.467224d, i 87.95d.  Amp. of primary 0.40V, secondary 0.12V."
174,193,1,"D:  ","CPM. Companion F8."
175,193,1,"G:  ","Cas-Tau OB1.  Member of Pleiades group."
176,193,1,"S:  ","Shell star.  Also classified B2V, B4ne, B8III, B2-5IVe."
177,193,1,"SB: ","1033d.  K 19.0, V0 -18.7, asini 268."
